,0
598,False
599,False
600,False
601,True
602,True
603,True
604,False
605,True
606,True
607,True
608,False
609,False
610,True
611,True
612,True
613,False
614,True
615,False
616,False
617,True
618,True
619,False
620,True
621,True
622,False
623,False
624,False
625,True
626,False
627,False
628,False
629,False
630,False
631,True
632,True
633,False
634,True
635,True
636,True
637,False
638,True
639,False
640,True
641,False
642,False
643,True
644,True
645,True
646,False
647,True
648,True
649,True
650,False
651,True
652,False
653,True
654,False
655,False
656,False
657,False
658,True
659,True
660,False
661,True
662,False
663,True
664,True
665,False
666,False
667,True
668,True
669,True
670,False
671,False
672,True
673,True
674,False
675,False
676,False
677,True
678,True
679,False
680,False
681,True
682,True
683,True
684,False
685,True
686,False
687,True
688,False
689,True
690,False
691,True
692,True
693,True
694,True
695,False
696,True
697,True
698,False
699,True
700,True
701,False
702,False
703,False
704,True
705,True
706,False
707,False
708,True
709,False
710,True
711,True
712,False
713,False
714,True
715,True
716,False
717,False
718,False
719,False
720,True
721,True
722,False
723,True
724,False
725,False
726,False
727,True
728,True
729,False
730,True
731,False
732,True
733,False
734,True
735,False
736,True
737,True
738,True
739,True
740,False
741,False
742,False
743,True
744,False
745,True
746,True
747,False
748,False
749,True
750,True
751,False
752,True
753,False
754,False
755,True
756,False
757,True
758,False
759,False
760,True
761,True
762,False
763,False
764,True
765,True
766,True
767,False
768,False
769,True
770,False
771,False
772,False
773,True
774,False
775,False
776,True
777,True
778,False
779,True
780,True
781,True
782,False
783,True
784,False
785,True
786,False
787,True
788,False
789,True
790,False
791,True
792,False
793,True
794,True
795,False
796,False
797,True
798,False
799,True
800,False
801,True
802,True
803,False
804,False
805,False
806,False
807,False
808,True
809,False
810,True
811,False
812,True
813,True
814,False
815,False
816,True
817,True
818,False
819,True
820,False
821,False
822,False
823,False
824,True
825,False
826,False
827,False
828,False
829,False
830,True
831,True
832,False
833,False
834,False
835,False
836,False
837,True
838,True
839,True
840,True
841,False
842,True
843,True
844,True
845,True
846,False
847,True
848,True
849,True
850,True
851,True
852,False
853,False
854,True
855,False
856,False
857,False
858,True
859,True
860,False
861,True
862,False
863,True
864,False
865,True
866,False
867,False
868,True
869,False
870,True
871,False
872,False
873,False
874,True
875,False
876,True
877,True
878,True
879,True
880,True
881,False
882,False
883,False
884,False
885,False
886,False
887,False
888,True
889,False
890,True
891,False
892,False
893,False
894,True
895,False
896,True
897,True
898,False
899,True
900,False
901,False
902,True
903,True
904,True
905,True
906,True
907,False
908,False
909,True
910,True
911,True
912,False
913,False
914,False
915,False
916,True
917,False
918,True
919,True
920,True
921,False
922,False
923,False
924,True
925,True
926,False
927,False
928,False
929,True
930,True
931,False
932,False
933,True
934,True
935,True
936,True
937,False
938,False
939,False
940,True
941,True
942,True
943,False
944,False
945,False
946,False
947,True
948,True
949,True
950,False
951,True
952,False
953,True
954,True
955,False
956,True
957,True
958,False
959,False
960,False
961,True
962,False
963,True
964,False
965,True
966,True
967,False
968,False
969,True
970,True
971,True
972,True
973,False
974,False
975,True
976,True
977,True
978,True
979,False
980,True
981,True
982,True
983,False
984,False
985,True
986,False
987,True
988,True
989,False
990,False
991,True
992,False
993,True
994,False
995,False
996,False
997,False
998,False
999,False
